120
0, 1
1, 0
2, 5
3, 7
4, 9
5, 2
5, 11
5, 12
6, 14
7, 3
7, 15
9, 4
9, 19
9, 20
10, 21
11, 5
11, 23
11, 24
12, 5
12, 25
12, 26
13, 27
13, 28
14, 6
14, 29
14, 30
15, 7
15, 31
15, 32
16, 33
16, 34
17, 36
19, 9
19, 39
20, 9
20, 42
21, 10
21, 44
22, 46
23, 11
23, 48
24, 11
24, 49
24, 50
25, 12
25, 51
25, 52
26, 12
26, 54
27, 13
27, 55
27, 56
28, 13
29, 14
29, 60
30, 14
30, 62
31, 15
31, 64
32, 15
32, 66
33, 16
33, 68
34, 16
34, 69
35, 71
36, 17
37, 75
38, 78
39, 19
40, 81
40, 82
41, 83
41, 84
42, 20
42, 86
43, 87
43, 88
44, 21
45, 91
46, 22
46, 93
47, 95
47, 96
48, 23
49, 24
49, 99
49, 100
50, 24
50, 101
50, 102
51, 25
51, 103
51, 104
52, 25
53, 107
54, 26
54, 109
54, 110
55, 27
55, 111
55, 112
56, 27
56, 113
56, 114
57, 115
57, 116
58, 117
60, 29
62, 30
64, 31
66, 32
68, 33
69, 34
71, 35
75, 37
78, 38
81, 40
82, 40
83, 41
84, 41
86, 42
87, 43
88, 43
91, 45
93, 46
95, 47
96, 47
99, 49
100, 49
101, 50
102, 50
103, 51
104, 51
107, 53
109, 54
110, 54
111, 55
112, 55
113, 56
114, 56
115, 57
116, 57
117, 58
